cli_document,recencia,frequencia,monetario,R,F,M,rfm_score,rfm_total,segmento
CLI_7CB3B412,498,1,69.93,1,2,1,121,4,Skin SOS
CLI_7CB495F3,239,1,105.32,3,2,1,321,6,Skin Bloom
CLI_7CB74A8B,388,1,191.81,2,2,3,223,7,Skin SOS
CLI_7CB77FD2,32,1,156.78,5,2,2,522,9,Skin Bloom
CLI_7CB7A79B,32,1,167.3,5,2,3,523,10,Skin Bloom
CLI_7CB7E238,296,1,67.93,3,2,1,321,6,Skin Bloom
CLI_7CB913AC,31,1,203.77,5,2,3,523,10,Skin Bloom
CLI_7CBA7D9D,296,1,128.19,3,2,2,322,7,Skin Bloom
CLI_7CC02C62,416,1,248.86,2,2,3,223,7,Skin SOS
CLI_7CC53778,424,1,116.63,2,2,1,221,5,Skin SOS
CLI_7CC56764,230,1,140.42,3,2,2,322,7,Skin Bloom
CLI_7CC57F13,39,1,311.67,5,2,4,524,11,Skin Bloom
CLI_7CC7A651,223,1,100.08,3,2,1,321,6,Skin Bloom
CLI_7CC98504,347,1,158.54,2,2,2,222,6,Skin SOS
CLI_7CCA2364,503,1,105.39,1,2,1,121,4,Skin SOS
CLI_7CCA6E32,160,1,105.18,4,2,1,421,7,Skin Bloom
CLI_7CCAFAD3,474,1,98.6,1,2,1,121,4,Skin SOS
CLI_7CCBED01,433,1,723.81,1,2,5,125,8,Skin SOS
CLI_7CCD44CB,38,1,191.7,5,2,3,523,10,Skin Bloom
CLI_7CD0DDB6,38,2,325.25,5,5,4,554,14,Skin Glow
CLI_7CD277D8,408,1,276.09,2,2,4,224,8,Skin SOS
CLI_7CD2AD36,32,1,179.4,5,2,3,523,10,Skin Bloom
CLI_7CD3448D,528,1,143.01,1,2,2,122,5,Skin SOS
CLI_7CD49CBE,213,1,361.0,3,2,4,324,9,Skin Bloom
CLI_7CD50D4A,547,1,100.5,1,2,1,121,4,Skin SOS
CLI_7CD5BAFC,230,1,224.25,3,2,3,323,8,Skin Bloom
CLI_7CD8D793,318,1,170.49,2,2,3,223,7,Skin SOS
CLI_7CDA22B7,526,1,298.98,1,2,4,124,7,Skin SOS
CLI_7CDAF736,211,1,343.56,3,2,4,324,9,Skin Bloom
CLI_7CDC76D8,41,1,82.05,5,2,1,521,8,Skin Bloom
CLI_7CE03A9D,235,1,99.83,3,2,1,321,6,Skin Bloom
CLI_7CE1E5A0,32,1,117.84,5,2,1,521,8,Skin Bloom
CLI_7CE1F38F,32,1,97.54,5,2,1,521,8,Skin Bloom
CLI_7CE33038,69,1,127.68,4,2,1,421,7,Skin Bloom
CLI_7CE39B5D,429,1,149.8,1,2,2,122,5,Skin SOS
CLI_7CE3F56E,242,1,156.9,3,2,2,322,7,Skin Bloom
CLI_7CE44427,32,1,195.08,5,2,3,523,10,Skin Bloom
CLI_7CE45B83,216,1,285.9,3,2,4,324,9,Skin Bloom
CLI_7CE4C28E,151,2,718.92,4,5,5,455,14,Skin Glow
CLI_7CE685B2,213,1,133.17,3,2,2,322,7,Skin Bloom
CLI_7CE75230,377,1,93.08,2,2,1,221,5,Skin SOS
CLI_7CE79D0B,24,2,280.39,5,5,4,554,14,Skin Glow
CLI_7CE7B22C,3,1,79.26,5,2,1,521,8,Skin Bloom
CLI_7CE9909F,101,1,150.14,4,2,2,422,8,Skin Bloom
CLI_7CE99E98,258,1,159.0,3,2,2,322,7,Skin Bloom
CLI_7CED643F,279,1,160.3,3,2,2,322,7,Skin Bloom
CLI_7CEDE2C1,138,13,2754.91,4,5,5,455,14,Skin Glow
CLI_7CEE4D15,5,16,3827.51,5,5,5,555,15,Skin Glow
CLI_7CEEB168,391,1,231.79,2,2,3,223,7,Skin SOS
CLI_7CEF75AA,498,1,155.67,1,2,2,122,5,Skin SOS
CLI_7CF09A58,495,1,323.96,1,2,4,124,7,Skin SOS
CLI_7CF21CEB,38,1,315.81,5,2,4,524,11,Skin Bloom
CLI_7CF2E7B0,433,2,483.15,1,5,5,155,11,Skin Bloom
CLI_7CF4C861,377,1,143.78,2,2,2,222,6,Skin SOS
CLI_7CF75377,547,1,84.99,1,2,1,121,4,Skin SOS
CLI_7CF911E7,48,1,66.93,5,2,1,521,8,Skin Bloom
CLI_7CFF7CC0,393,1,199.9,2,2,3,223,7,Skin SOS
CLI_7CFFE161,473,1,391.12,1,2,4,124,7,Skin SOS
CLI_7D003E72,418,1,357.8,2,2,4,224,8,Skin SOS
CLI_7D005C4B,456,1,126.42,1,2,1,121,4,Skin SOS
CLI_7D01D332,36,2,269.40999999999997,5,5,4,554,14,Skin Glow
CLI_7D03910A,403,1,132.86,2,2,2,222,6,Skin SOS
CLI_7D06B22C,383,1,315.53,2,2,4,224,8,Skin SOS
CLI_7D0A5BBF,413,1,199.8,2,2,3,223,7,Skin SOS
CLI_7D0BA0BC,359,2,328.16,2,5,4,254,11,Skin Bloom
CLI_7D0DCF6A,172,1,508.3,3,2,5,325,10,Skin Bloom
CLI_7D118D00,420,2,886.97,2,5,5,255,12,Skin Bloom
CLI_7D126124,52,1,225.11,5,2,3,523,10,Skin Bloom
CLI_7D14E3FC,322,1,144.42,2,2,2,222,6,Skin SOS
CLI_7D161383,147,3,633.29,4,5,5,455,14,Skin Glow
CLI_7D16C2C2,40,1,128.68,5,2,2,522,9,Skin Bloom
CLI_7D195984,130,1,157.23,4,2,2,422,8,Skin Bloom
CLI_7D1A4E4B,123,1,369.0,4,2,4,424,10,Skin Bloom
CLI_7D1A597A,165,1,289.0,4,2,4,424,10,Skin Bloom
CLI_7D1A81BA,72,1,201.87,4,2,3,423,9,Skin Bloom
CLI_7D1DE699,403,1,149.17,2,2,2,222,6,Skin SOS
CLI_7D1E4B70,31,1,63.94,5,2,1,521,8,Skin Bloom
CLI_7D221DC9,227,1,62.3,3,2,1,321,6,Skin Bloom
CLI_7D25610B,247,1,100.83,3,2,1,321,6,Skin Bloom
CLI_7D279DDA,402,1,128.62,2,2,2,222,6,Skin SOS
CLI_7D287064,498,1,69.93,1,2,1,121,4,Skin SOS
CLI_7D2F2B32,34,7,1659.8000000000002,5,5,5,555,15,Skin Glow
CLI_7D3300A2,546,1,492.23,1,2,5,125,8,Skin SOS
CLI_7D3406D8,32,1,55.97,5,2,1,521,8,Skin Bloom
CLI_7D3561D3,52,2,152.73000000000002,5,5,2,552,12,Skin Glow
CLI_7D36621A,11,2,253.29000000000002,5,5,4,554,14,Skin Glow
CLI_7D3732E8,33,1,107.41,5,2,1,521,8,Skin Bloom
CLI_7D3928CC,9,1,314.59,5,2,4,524,11,Skin Bloom
CLI_7D3C88BD,46,1,116.32,5,2,1,521,8,Skin Bloom
CLI_7D3DFF78,513,1,188.1,1,2,3,123,6,Skin SOS
CLI_7D3F1A92,44,1,372.24,5,2,4,524,11,Skin Bloom
CLI_7D4313C7,140,2,244.21,4,5,3,453,12,Skin Glow
CLI_7D482442,15,1,386.0,5,2,4,524,11,Skin Bloom
CLI_7D498A1D,75,1,209.79,4,2,3,423,9,Skin Bloom
CLI_7D4BE6BA,501,1,85.13,1,2,1,121,4,Skin SOS
CLI_7D4DE220,355,1,122.52,2,2,1,221,5,Skin SOS
CLI_7D4F9946,292,1,259.0,3,2,4,324,9,Skin Bloom
CLI_7D521AEA,266,1,99.91,3,2,1,321,6,Skin Bloom
CLI_7D52C0C4,498,1,69.93,1,2,1,121,4,Skin SOS
CLI_7D58A852,449,1,261.78,1,2,4,124,7,Skin SOS
CLI_7D5AF134,423,2,262.51,2,5,4,254,11,Skin Bloom
CLI_7D5B1691,272,1,128.62,3,2,2,322,7,Skin Bloom
CLI_7D5D1BB9,461,1,145.38,1,2,2,122,5,Skin SOS
CLI_7D5F9F05,447,1,83.98,1,2,1,121,4,Skin SOS
CLI_7D60E498,32,2,517.69,5,5,5,555,15,Skin Glow
CLI_7D612E4D,69,2,711.71,4,5,5,455,14,Skin Glow
CLI_7D612F64,147,1,123.99,4,2,1,421,7,Skin Bloom
CLI_7D6273B4,165,1,142.1,4,2,2,422,8,Skin Bloom
CLI_7D6385E9,200,1,94.6,3,2,1,321,6,Skin Bloom
CLI_7D6440F2,289,1,149.9,3,2,2,322,7,Skin Bloom
CLI_7D64DDCB,511,1,134.91,1,2,2,122,5,Skin SOS
CLI_7D669B36,179,2,288.74,3,5,4,354,12,Skin Glow
CLI_7D693D0A,254,1,161.61,3,2,2,322,7,Skin Bloom
CLI_7D699958,162,5,1695.33,4,5,5,455,14,Skin Glow
CLI_7D6A7A97,191,1,129.6,3,2,2,322,7,Skin Bloom
CLI_7D6E7025,441,1,155.0,1,2,2,122,5,Skin SOS
CLI_7D700AD8,393,1,157.5,2,2,2,222,6,Skin SOS
CLI_7D70A838,337,1,93.62,2,2,1,221,5,Skin SOS
CLI_7D716EF4,472,1,322.34,1,2,4,124,7,Skin SOS
CLI_7D717D74,498,1,139.86,1,2,2,122,5,Skin SOS
CLI_7D7215DB,403,1,92.64,2,2,1,221,5,Skin SOS
CLI_7D7E1158,229,1,116.89,3,2,1,321,6,Skin Bloom
CLI_7D7E2CDA,516,1,127.88,1,2,2,122,5,Skin SOS
CLI_7D82467B,47,1,124.46,5,2,1,521,8,Skin Bloom
CLI_7D824F01,32,3,728.05,5,5,5,555,15,Skin Glow
CLI_7D839870,202,1,144.07,3,2,2,322,7,Skin Bloom
CLI_7D83B582,32,1,63.94,5,2,1,521,8,Skin Bloom
CLI_7D84F7EC,32,1,390.16,5,2,4,524,11,Skin Bloom
CLI_7D8504E1,5,1,79.6,5,2,1,521,8,Skin Bloom
CLI_7D854055,76,1,381.9,4,2,4,424,10,Skin Bloom
CLI_7D85C674,130,2,228.77999999999997,4,5,3,453,12,Skin Glow
CLI_7D885E3B,52,1,254.15,5,2,4,524,11,Skin Bloom
CLI_7D8897BF,383,2,570.9,2,5,5,255,12,Skin Bloom
CLI_7D889911,265,1,93.7,3,2,1,321,6,Skin Bloom
CLI_7D8D6D5B,178,1,129.96,3,2,2,322,7,Skin Bloom
CLI_7D908F6F,382,2,312.5,2,5,4,254,11,Skin Bloom
CLI_7D911E21,98,1,158.97,4,2,2,422,8,Skin Bloom
CLI_7D926F14,401,1,211.34,2,2,3,223,7,Skin SOS
CLI_7D997444,402,1,235.21,2,2,3,223,7,Skin SOS
CLI_7D99C2C5,146,1,287.82,4,2,4,424,10,Skin Bloom
CLI_7D9C1410,461,1,284.9,1,2,4,124,7,Skin SOS
CLI_7D9C7B33,201,1,133.03,3,2,2,322,7,Skin Bloom
CLI_7D9CE246,504,1,202.21,1,2,3,123,6,Skin SOS
CLI_7D9D14DB,78,8,2285.09,4,5,5,455,14,Skin Glow
CLI_7D9E0E5E,537,1,437.36,1,2,5,125,8,Skin SOS
CLI_7D9E0F73,401,1,655.69,2,2,5,225,9,Skin SOS
CLI_7D9EC532,32,2,392.15,5,5,4,554,14,Skin Glow
CLI_7D9F60E6,34,1,165.32,5,2,3,523,10,Skin Bloom
CLI_7DA06201,519,1,127.88,1,2,2,122,5,Skin SOS
CLI_7DA1742E,81,3,420.83,4,5,5,455,14,Skin Glow
CLI_7DA17F7E,412,2,565.4,2,5,5,255,12,Skin Bloom
CLI_7DA3C288,412,1,271.91,2,2,4,224,8,Skin SOS
CLI_7DA4A565,140,2,383.21,4,5,4,454,13,Skin Glow
CLI_7DA4C770,314,1,174.49,2,2,3,223,7,Skin SOS
CLI_7DA60336,62,2,1174.74,4,5,5,455,14,Skin Glow
CLI_7DA70584,48,3,283.72,5,5,4,554,14,Skin Glow
CLI_7DA8DCB5,419,1,161.46,2,2,2,222,6,Skin SOS
CLI_7DA8E5B7,129,1,159.9,4,2,2,422,8,Skin Bloom
CLI_7DAAEBBF,16,2,653.51,5,5,5,555,15,Skin Glow
CLI_7DAB1244,181,3,633.26,3,5,5,355,13,Skin Glow
CLI_7DB05295,307,1,262.03,3,2,4,324,9,Skin Bloom
CLI_7DB15AC9,32,3,716.4,5,5,5,555,15,Skin Glow
CLI_7DB1999E,144,4,657.3199999999999,4,5,5,455,14,Skin Glow
CLI_7DB234AB,498,1,69.93,1,2,1,121,4,Skin SOS
CLI_7DB4157E,38,1,116.32,5,2,1,521,8,Skin Bloom
CLI_7DB5AC29,264,2,1093.58,3,5,5,355,13,Skin Glow
CLI_7DB69EE7,394,3,934.5799999999999,2,5,5,255,12,Skin Bloom
CLI_7DB70106,506,1,217.44,1,2,3,123,6,Skin SOS
CLI_7DB73B27,470,1,259.9,1,2,4,124,7,Skin SOS
CLI_7DB7F608,48,2,136.86,5,5,2,552,12,Skin Glow
CLI_7DB8683F,348,1,307.81,2,2,4,224,8,Skin SOS
CLI_7DB8E097,244,1,248.0,3,2,3,323,8,Skin Bloom
CLI_7DB8E281,34,2,131.20999999999998,5,5,2,552,12,Skin Glow
CLI_7DBA88C6,14,1,324.86,5,2,4,524,11,Skin Bloom
CLI_7DBAB366,520,1,130.18,1,2,2,122,5,Skin SOS
CLI_7DBC7B65,129,2,295.34000000000003,4,5,4,454,13,Skin Glow
CLI_7DBDF84E,48,4,471.72,5,5,5,555,15,Skin Glow
CLI_7DC000AF,182,1,85.67,3,2,1,321,6,Skin Bloom
CLI_7DC0BE59,546,1,116.0,1,2,1,121,4,Skin SOS
CLI_7DC119BE,420,1,76.93,2,2,1,221,5,Skin SOS
CLI_7DC1B5B6,442,1,138.6,1,2,2,122,5,Skin SOS
CLI_7DC386A6,229,1,129.6,3,2,2,322,7,Skin Bloom
CLI_7DC4233A,42,1,326.31,5,2,4,524,11,Skin Bloom
CLI_7DC4B09B,441,1,88.59,1,2,1,121,4,Skin SOS
CLI_7DC508C7,431,1,234.92,1,2,3,123,6,Skin SOS
CLI_7DC521F3,106,2,841.87,4,5,5,455,14,Skin Glow
CLI_7DC8E0C0,33,1,174.02,5,2,3,523,10,Skin Bloom
CLI_7DC9AECB,535,1,701.84,1,2,5,125,8,Skin SOS
CLI_7DCBCBE2,21,2,270.5,5,5,4,554,14,Skin Glow
CLI_7DCCE506,291,1,115.98,3,2,1,321,6,Skin Bloom
CLI_7DCEA70B,31,1,63.94,5,2,1,521,8,Skin Bloom
CLI_7DD0AE14,20,2,209.48,5,5,3,553,13,Skin Glow
CLI_7DD12D6E,40,3,705.4200000000001,5,5,5,555,15,Skin Glow
CLI_7DD1F547,64,2,441.77,4,5,5,455,14,Skin Glow
CLI_7DD29648,545,1,127.88,1,2,2,122,5,Skin SOS
CLI_7DD2D82E,46,2,376.06,5,5,4,554,14,Skin Glow
CLI_7DD3D7F3,398,2,380.31,2,5,4,254,11,Skin Bloom
CLI_7DD4C569,276,1,269.9,3,2,4,324,9,Skin Bloom
CLI_7DD4C7B5,415,1,292.5,2,2,4,224,8,Skin SOS
CLI_7DD54287,281,1,83.62,3,2,1,321,6,Skin Bloom
CLI_7DD643F0,145,3,984.8,4,5,5,455,14,Skin Glow
CLI_7DD71916,32,1,195.08,5,2,3,523,10,Skin Bloom
CLI_7DD9C0FF,348,2,209.85000000000002,2,5,3,253,10,Skin Bloom
CLI_7DDADC24,34,4,1132.7,5,5,5,555,15,Skin Glow
CLI_7DDCF360,395,1,88.93,2,2,1,221,5,Skin SOS
CLI_7DDD7005,31,1,455.7,5,2,5,525,12,Skin Bloom
CLI_7DDFDB5B,80,1,333.39,4,2,4,424,10,Skin Bloom
CLI_7DE2594D,471,1,184.41,1,2,3,123,6,Skin SOS
CLI_7DE25E3B,293,1,128.11,3,2,2,322,7,Skin Bloom
CLI_7DE5E514,524,1,852.65,1,2,5,125,8,Skin SOS
CLI_7DE69842,235,1,153.95,3,2,2,322,7,Skin Bloom
CLI_7DE7530E,183,1,99.83,3,2,1,321,6,Skin Bloom
CLI_7DE937D4,303,1,127.89,3,2,2,322,7,Skin Bloom
CLI_7DEA29CD,115,2,506.09000000000003,4,5,5,455,14,Skin Glow
CLI_7DEAC66B,314,1,68.34,2,2,1,221,5,Skin SOS
CLI_7DEC7DFA,117,1,89.91,4,2,1,421,7,Skin Bloom
CLI_7DECC44D,208,1,199.8,3,2,3,323,8,Skin Bloom
CLI_7DEDD88D,174,1,84.49,3,2,1,321,6,Skin Bloom
CLI_7DEF3AF3,54,1,199.39,4,2,3,423,9,Skin Bloom
CLI_7DEFC881,478,1,162.37,1,2,3,123,6,Skin SOS
CLI_7DF0869D,76,1,502.58,4,2,5,425,11,Skin Bloom
CLI_7DF14EA7,433,1,299.09,1,2,4,124,7,Skin SOS
CLI_7DF295B6,32,1,55.97,5,2,1,521,8,Skin Bloom
CLI_7DF2F305,358,1,103.96,2,2,1,221,5,Skin SOS
CLI_7DF4525C,113,1,144.9,4,2,2,422,8,Skin Bloom
CLI_7DF4DF44,337,1,196.86,2,2,3,223,7,Skin SOS
CLI_7DF69EA6,211,2,816.8,3,5,5,355,13,Skin Glow
CLI_7DF81DC2,233,1,169.8,3,2,3,323,8,Skin Bloom
CLI_7DFAC609,94,1,119.2,4,2,1,421,7,Skin Bloom
CLI_7DFF6AA7,122,2,404.64,4,5,4,454,13,Skin Glow
CLI_7E00956B,176,2,2699.24,3,5,5,355,13,Skin Glow
CLI_7E02409B,445,1,147.7,1,2,2,122,5,Skin SOS
CLI_7E03F803,409,1,147.71,2,2,2,222,6,Skin SOS
CLI_7E0553CD,406,1,171.84,2,2,3,223,7,Skin SOS
CLI_7E074CA5,520,1,98.92,1,2,1,121,4,Skin SOS
CLI_7E08FA7D,122,1,169.84,4,2,3,423,9,Skin Bloom
CLI_7E09E5BB,374,1,268.02,2,2,4,224,8,Skin SOS
CLI_7E0B477D,232,3,996.49,3,5,5,355,13,Skin Glow
CLI_7E0B6CA2,328,1,131.11,2,2,2,222,6,Skin SOS
CLI_7E0F039D,502,1,131.82,1,2,2,122,5,Skin SOS
CLI_7E10FCC7,46,1,198.19,5,2,3,523,10,Skin Bloom
CLI_7E111B21,35,2,825.03,5,5,5,555,15,Skin Glow
CLI_7E120FE6,381,1,119.92,2,2,1,221,5,Skin SOS
CLI_7E140434,375,1,208.82,2,2,3,223,7,Skin SOS
CLI_7E144214,293,1,128.86,3,2,2,322,7,Skin Bloom
CLI_7E14D7F8,442,1,176.29,1,2,3,123,6,Skin SOS
CLI_7E158125,26,1,98.14,5,2,1,521,8,Skin Bloom
CLI_7E183C08,407,1,93.97,2,2,1,221,5,Skin SOS
CLI_7E199B0E,332,1,135.82,2,2,2,222,6,Skin SOS
CLI_7E19C492,285,1,232.01,3,2,3,323,8,Skin Bloom
CLI_7E1E6F09,331,1,162.36,2,2,3,223,7,Skin SOS
CLI_7E2086DB,22,1,657.29,5,2,5,525,12,Skin Bloom
CLI_7E209356,518,1,176.14,1,2,3,123,6,Skin SOS
CLI_7E2302E6,502,1,200.89,1,2,3,123,6,Skin SOS
CLI_7E23316D,82,1,165.61,4,2,3,423,9,Skin Bloom
CLI_7E240D75,230,2,483.36,3,5,5,355,13,Skin Glow
CLI_7E24D00F,324,1,248.0,2,2,3,223,7,Skin SOS
CLI_7E2652F1,66,1,518.0,4,2,5,425,11,Skin Bloom
CLI_7E26E0AC,332,1,358.55,2,2,4,224,8,Skin SOS
CLI_7E275883,173,1,181.89,3,2,3,323,8,Skin Bloom
CLI_7E27FF7F,441,1,153.0,1,2,2,122,5,Skin SOS
CLI_7E2AF623,205,1,137.25,3,2,2,322,7,Skin Bloom
CLI_7E2B01B4,436,1,157.71,1,2,2,122,5,Skin SOS
CLI_7E2BC386,434,1,335.45,1,2,4,124,7,Skin SOS
CLI_7E2CE54C,12,6,1036.85,5,5,5,555,15,Skin Glow
CLI_7E2D5842,498,1,69.93,1,2,1,121,4,Skin SOS
CLI_7E2D60EC,277,1,98.61,3,2,1,321,6,Skin Bloom
CLI_7E2DA016,84,1,56.83,4,2,1,421,7,Skin Bloom
CLI_7E306EC3,507,1,215.01,1,2,3,123,6,Skin SOS
CLI_7E3095FD,75,1,80.87,4,2,1,421,7,Skin Bloom
CLI_7E323110,203,1,122.4,3,2,1,321,6,Skin Bloom
CLI_7E3400E2,194,1,247.42,3,2,3,323,8,Skin Bloom
CLI_7E34F04B,464,1,158.6,1,2,2,122,5,Skin SOS
CLI_7E3659B3,34,1,78.68,5,2,1,521,8,Skin Bloom
CLI_7E36D0CC,95,1,162.12,4,2,2,422,8,Skin Bloom
CLI_7E37E3D3,198,1,140.27,3,2,2,322,7,Skin Bloom
CLI_7E383783,106,1,109.91,4,2,1,421,7,Skin Bloom
CLI_7E3DF383,455,1,199.13,1,2,3,123,6,Skin SOS
CLI_7E3E891E,243,1,519.48,3,2,5,325,10,Skin Bloom
CLI_7E3EB1E2,530,1,445.31,1,2,5,125,8,Skin SOS
CLI_7E3FC36E,53,2,350.03,4,5,4,454,13,Skin Glow
CLI_7E42D1E8,422,1,79.92,2,2,1,221,5,Skin SOS
CLI_7E46E255,33,1,61.12,5,2,1,521,8,Skin Bloom
CLI_7E4770FB,51,1,205.18,5,2,3,523,10,Skin Bloom
CLI_7E477976,228,1,372.05,3,2,4,324,9,Skin Bloom
CLI_7E47843B,260,1,263.0,3,2,4,324,9,Skin Bloom
CLI_7E47A4E4,330,1,488.0,2,2,5,225,9,Skin SOS
CLI_7E47F423,415,1,495.95,2,2,5,225,9,Skin SOS
CLI_7E48D6CC,40,1,73.34,5,2,1,521,8,Skin Bloom
CLI_7E4914D4,535,1,228.1,1,2,3,123,6,Skin SOS
CLI_7E4BDC71,530,1,158.55,1,2,2,122,5,Skin SOS
CLI_7E4C288E,81,1,116.37,4,2,1,421,7,Skin Bloom
CLI_7E4F4B6F,316,1,170.82,2,2,3,223,7,Skin SOS
CLI_7E503B12,284,1,86.11,3,2,1,321,6,Skin Bloom
CLI_7E5051CF,35,2,361.77,5,5,4,554,14,Skin Glow
CLI_7E52A741,351,1,144.96,2,2,2,222,6,Skin SOS
CLI_7E5392CF,518,1,288.51,1,2,4,124,7,Skin SOS
CLI_7E53BA2D,381,1,118.72,2,2,1,221,5,Skin SOS
CLI_7E549323,463,2,432.45000000000005,1,5,5,155,11,Skin Bloom
CLI_7E55161D,316,1,108.64,2,2,1,221,5,Skin SOS
CLI_7E5625A3,325,1,442.2,2,2,5,225,9,Skin SOS
CLI_7E575BF9,464,1,127.88,1,2,2,122,5,Skin SOS
CLI_7E57DB56,476,1,287.88,1,2,4,124,7,Skin SOS
CLI_7E59552B,52,1,434.54,5,2,5,525,12,Skin Bloom
CLI_7E5BAA5D,22,1,267.82,5,2,4,524,11,Skin Bloom
CLI_7E5BF01E,184,1,225.84,3,2,3,323,8,Skin Bloom
CLI_7E5F2B33,498,1,139.86,1,2,2,122,5,Skin SOS
CLI_7E60918D,515,1,295.4,1,2,4,124,7,Skin SOS
CLI_7E60F146,498,1,139.86,1,2,2,122,5,Skin SOS
CLI_7E647895,184,1,134.1,3,2,2,322,7,Skin Bloom
CLI_7E691BE5,498,1,69.93,1,2,1,121,4,Skin SOS
CLI_7E6A0A11,498,1,158.9,1,2,2,122,5,Skin SOS
CLI_7E6A43FB,76,1,85.9,4,2,1,421,7,Skin Bloom
CLI_7E6AB427,192,2,497.82000000000005,3,5,5,355,13,Skin Glow
CLI_7E6B3486,59,2,262.3,4,5,4,454,13,Skin Glow
CLI_7E6C6E71,2,2,559.64,5,5,5,555,15,Skin Glow
CLI_7E6F91A2,344,1,130.9,2,2,2,222,6,Skin SOS
CLI_7E6FCB34,51,1,182.42,5,2,3,523,10,Skin Bloom
CLI_7E703F62,291,1,152.56,3,2,2,322,7,Skin Bloom
CLI_7E70AE0A,400,1,239.84,2,2,3,223,7,Skin SOS
CLI_7E717930,182,1,278.79,3,2,4,324,9,Skin Bloom
CLI_7E723680,498,1,139.86,1,2,2,122,5,Skin SOS
CLI_7E766DCE,498,1,69.93,1,2,1,121,4,Skin SOS
CLI_7E78E3B6,172,1,130.2,3,2,2,322,7,Skin Bloom
CLI_7E7C5C65,404,1,172.95,2,2,3,223,7,Skin SOS
CLI_7E7D542B,362,2,967.58,2,5,5,255,12,Skin Bloom
CLI_7E7D79C6,12,1,139.26,5,2,2,522,9,Skin Bloom
CLI_7E7D7FB2,60,2,625.82,4,5,5,455,14,Skin Glow
CLI_7E7F6FB2,449,1,233.1,1,2,3,123,6,Skin SOS
CLI_7E7FFE9F,449,1,142.05,1,2,2,122,5,Skin SOS
CLI_7E81A682,210,1,192.0,3,2,3,323,8,Skin Bloom
CLI_7E885C1F,32,1,62.0,5,2,1,521,8,Skin Bloom
CLI_7E892C8A,498,1,69.93,1,2,1,121,4,Skin SOS
CLI_7E8BAD84,85,3,522.39,4,5,5,455,14,Skin Glow
CLI_7E8BFC15,275,1,130.41,3,2,2,322,7,Skin Bloom
CLI_7E905DA7,118,1,217.09,4,2,3,423,9,Skin Bloom
CLI_7E910F3A,31,1,122.09,5,2,1,521,8,Skin Bloom
CLI_7E9280A4,425,1,314.5,2,2,4,224,8,Skin SOS
CLI_7E92DC98,156,1,80.87,4,2,1,421,7,Skin Bloom
CLI_7E936DB8,174,1,125.18,3,2,1,321,6,Skin Bloom
CLI_7E9558F6,427,1,148.91,1,2,2,122,5,Skin SOS
CLI_7E9A3758,470,1,135.06,1,2,2,122,5,Skin SOS
CLI_7E9B717D,464,1,438.8,1,2,5,125,8,Skin SOS
CLI_7E9BBE4A,204,3,709.8299999999999,3,5,5,355,13,Skin Glow
CLI_7E9DD3FF,406,1,102.23,2,2,1,221,5,Skin SOS
CLI_7E9EBF98,169,5,915.6700000000001,3,5,5,355,13,Skin Glow
CLI_7EA05D45,417,1,194.73,2,2,3,223,7,Skin SOS
CLI_7EA1163D,441,1,736.68,1,2,5,125,8,Skin SOS
CLI_7EA18C38,343,1,276.9,2,2,4,224,8,Skin SOS
CLI_7EA26948,356,1,259.0,2,2,4,224,8,Skin SOS
CLI_7EA314E4,305,1,251.82,3,2,4,324,9,Skin Bloom
CLI_7EA48CDD,533,1,193.78,1,2,3,123,6,Skin SOS
CLI_7EABCA7E,410,1,306.9,2,2,4,224,8,Skin SOS
CLI_7EADA133,100,1,75.32,4,2,1,421,7,Skin Bloom
CLI_7EB3739D,35,4,518.02,5,5,5,555,15,Skin Glow
CLI_7EB4045B,88,1,73.12,4,2,1,421,7,Skin Bloom
CLI_7EB939F6,415,1,130.92,2,2,2,222,6,Skin SOS
CLI_7EB9D2FA,474,1,279.9,1,2,4,124,7,Skin SOS
CLI_7EBB2545,172,1,279.8,3,2,4,324,9,Skin Bloom
CLI_7EBDAF5B,402,1,131.82,2,2,2,222,6,Skin SOS
CLI_7EBE14AD,32,1,63.94,5,2,1,521,8,Skin Bloom
CLI_7EC06867,29,1,65.44,5,2,1,521,8,Skin Bloom
CLI_7EC12E5F,32,1,308.64,5,2,4,524,11,Skin Bloom
CLI_7EC24001,32,3,528.67,5,5,5,555,15,Skin Glow
CLI_7EC2ED19,422,1,84.93,2,2,1,221,5,Skin SOS
CLI_7EC3BE74,461,1,231.79,1,2,3,123,6,Skin SOS
CLI_7EC40032,101,1,74.62,4,2,1,421,7,Skin Bloom
CLI_7EC4A096,323,2,400.46,2,5,4,254,11,Skin Bloom
CLI_7ECAEDBE,82,1,168.9,4,2,3,423,9,Skin Bloom
CLI_7ECB8BCA,402,1,108.81,2,2,1,221,5,Skin SOS
CLI_7ECF52FB,41,1,824.72,5,2,5,525,12,Skin Bloom
CLI_7ECFE21B,39,4,1434.07,5,5,5,555,15,Skin Glow
CLI_7ED15A89,60,1,168.1,4,2,3,423,9,Skin Bloom
CLI_7ED1BD2C,156,1,223.16,4,2,3,423,9,Skin Bloom
CLI_7ED31749,498,1,150.45,1,2,2,122,5,Skin SOS
CLI_7ED5CB37,88,1,240.99,4,2,3,423,9,Skin Bloom
CLI_7ED79CAE,216,2,523.8399999999999,3,5,5,355,13,Skin Glow
CLI_7ED83218,80,3,621.86,4,5,5,455,14,Skin Glow
